#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR,Shimmer Shimmer3-3A15 2BF6 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide28 Item4","687854","5881","","","5881","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide30 Item5","695628","5152","","","5152","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide45 Stim4","923932","5995","","","5995","1","1","10.01","0.1348"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide42 Stim3","932932","6005","","","6005","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide36 Stim1","941993","3000","","","3000","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide51 Stim6","947970","6008","","","6008","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide48 Stim5","956847","11990","","","11990","1","1","5","0.0073"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide39 Stim2","971715","11995","","","11995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide63 Stim10","986699","12014","","","12014","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide57 Stim8","1001677","6016","","","6016","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide60 Stim9","1010627","11989","","","11989","1","1","5","0.1685"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide54 Stim7","1025588","12044","","","12044","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide69 Stim12","1040541","6000","","","6000","1","1","10","0.0923"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_066","MALE","22","Default","Stimulus","Slide66 Stim11","1049440","12034","","","12034","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide8 NewU1","234320","51908","","","51908","1","2","2.31","0.0169"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide13 NewU2","322733","57065","","","57065","1","4","4.21","0.037"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide22 Item1","647511","96342","","","96342","1","8","4.98","0.0277"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide24 Item2","745458","34571","","","34571","1","3","5.21","0.0359"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide26 Item3","781608","10926","","","10926","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide28 Item4","794087","24666","","","24666","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide30 Item5","820351","4992","","","4992","1","1","12.02","0.0337"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide51 Stim6","1108285","5998","","","5998","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide54 Stim7","1116700","11999","","","11999","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide63 Stim10","1131096","11994","","","11994","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide36 Stim1","1145549","2997","","","2997","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide57 Stim8","1150951","6010","","","6010","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide48 Stim5","1159448","11988","","","11988","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide69 Stim12","1173797","6012","","","6012","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide45 Stim4","1182158","6000","","","6000","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide66 Stim11","1190481","12016","","","12016","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide60 Stim9","1204878","11992","","","11992","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide39 Stim2","1219204","12023","","","12023","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_068","MALE","50","Default","Stimulus","Slide42 Stim3","1233660","6002","","","6002","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide8 NewU1","221389","84110","","","84110","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide13 NewU2","341255","19642","","","19642","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide22 Item1","657637","8654","","","8654","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide24 Item2","667531","117243","","","117243","1","3","1.54","0.0229"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide26 Item3","786079","67558","","","67558","1","3","2.66","0.0537"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide28 Item4","854876","8277","","","8277","1","2","14.5","0.0615"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide30 Item5","864388","12542","","","12542","1","1","4.78","0.0253"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide69 Stim12","1123443","5990","","","5990","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide57 Stim8","1131341","5998","","","5998","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide39 Stim2","1139219","11997","","","11997","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide36 Stim1","1153108","2997","","","2997","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide60 Stim9","1158057","11986","","","11986","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide48 Stim5","1171906","11996","","","11996","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide54 Stim7","1185782","11995","","","11995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide66 Stim11","1199654","11998","","","11998","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide42 Stim3","1213534","5992","","","5992","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide63 Stim10","1221520","11999","","","11999","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide51 Stim6","1235435","5997","","","5997","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_070","MALE","47","Default","Stimulus","Slide45 Stim4","1243348","5994","","","5994","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide8 NewU1","210257","157150","","","157150","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide13 NewU2","402544","57104","","","57104","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide22 Item1","690370","48606","","","48606","1","1","1.23","0.0093"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide24 Item2","740038","174702","","","174702","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide26 Item3","915846","5949","","","5949","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide28 Item4","922846","6558","","","6558","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide30 Item5","930479","4082","","","4082","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide45 Stim4","1164869","5998","","","5998","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide63 Stim10","1172465","11992","","","11992","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide54 Stim7","1186110","11988","","","11988","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide66 Stim11","1199695","11999","","","11999","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide42 Stim3","1213287","6002","","","6002","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide69 Stim12","1220879","5999","","","5999","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide57 Stim8","1228509","5995","","","5995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide36 Stim1","1236112","3000","","","3000","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide39 Stim2","1240683","11991","","","11991","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide51 Stim6","1254292","5994","","","5994","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide60 Stim9","1261927","11998","","","11998","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_072","FEMALE","40","Default","Stimulus","Slide48 Stim5","1275541","11995","","","11995","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_074","FEMALE","36","Default","Stimulus","Slide8 NewU1","316327","103670","","","103670","1","1","0.58","0.0067"
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_074","FEMALE","36","Default","Stimulus","Slide13 NewU2","455155","17770","","","17770","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_074","FEMALE","36","Default","Stimulus","Slide22 Item1","834318","24194","","","24194","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_074","FEMALE","36","Default","Stimulus","Slide24 Item2","859578","13169","","","13169","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_074","FEMALE","36","Default","Stimulus","Slide26 Item3","873827","17008","","","17008","0","0","0",NA
"Nandos_Menu_NewUnique_Subset3_2 (1)","Resp_074","FEMALE","36","Default","Stimulus","Slide28 Item4","891879","11326","","","11326","0","0","0",NA
