,file,resp_id_old,subset_old,Slide13 Current2_RT,Slide13 Current2_AOISelected,Slide13 Current2_AOIAccuracy,Slide13 Current2_FixationCount,Slide22 Item1_RT,Slide22 Item1_AOISelected,Slide22 Item1_AOIAccuracy,Slide22 Item1_FixationCount,Slide24 Item2_RT,Slide24 Item2_AOISelected,Slide24 Item2_AOIAccuracy,Slide24 Item2_FixationCount,Slide26 Item3_RT,Slide26 Item3_AOISelected,Slide26 Item3_AOIAccuracy,Slide26 Item3_FixationCount,Slide28 Item4_RT,Slide28 Item4_AOISelected,Slide28 Item4_AOIAccuracy,Slide28 Item4_FixationCount,Slide30 Item5_RT,Slide30 Item5_AOISelected,Slide30 Item5_AOIAccuracy,Slide30 Item5_FixationCount,Slide8 Current1_RT,Slide8 Current1_AOISelected,Slide8 Current1_AOIAccuracy,Slide8 Current1_FixationCount,Slide13 NewF2_RT,Slide13 NewF2_AOISelected,Slide13 NewF2_AOIAccuracy,Slide13 NewF2_FixationCount,Slide8 NewF1_RT,Slide8 NewF1_AOISelected,Slide8 NewF1_AOIAccuracy,Slide8 NewF1_FixationCount,Slide13 NewU2_RT,Slide13 NewU2_AOISelected,Slide13 NewU2_AOIAccuracy,Slide13 NewU2_FixationCount,Slide8 NewU1_RT,Slide8 NewU1_AOISelected,Slide8 NewU1_AOIAccuracy,Slide8 NewU1_FixationCount
69,011_Resp_033.csv,33,Nandos_Menu_NewFunctional_Subset2_2,,,,,34898.8487,Item_65,4,96,23550.6876,Item_17,4,57,15144.9506,Item_61,3,33,26517.8195,Item_70,3,54,10487.0679,Item_30,3,19,,,,,93139.7594,Item_13,4,190,76904.957,Item_111,4,196,,,,,,,,
70,011_Resp_050.csv,50,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,23949.5074,Item_65,3,57,34725.1366,Item_17,4,85,32269.0017,Item_61,4,84,5698.0435,Item_47,3,14,7017.1749,Item_46,4,20,,,,,35438.794,Item_116,3,83,56548.5102,Perimeter_00,3,145,,,,,,,,
71,011_Resp_073.csv,73,Nandos_Menu_NewUnique_Subset3_2,,,,,19331.4451,Item_09,4,58,5323.5139,Item_17,4,17,4189.4857,Item_53 dwelled on; Item_54,4,12,2972.7959,Item_47,4,7,6600.1107,Item_30,4,20,,,,,,,,,,,,,85386.5742,Item_48,4,173,67258.7375,Item_45,4,192
72,011_Resp_084.csv,84,Nandos_Menu_NewUnique_Subset3_2 (1),,,,,52888.4756,Item_09,4,121,64556.6685,Item_17,4,176,13553.764,Heading_30,3,31,10100.7097,Item_10,4,30,5880.0118,Item_46,4,14,,,,,,,,,,,,,11802.4023,Item_38,4,23,106894.1044,Item_35,4,268
73,012_Resp_011.csv,11,Nandos_Menu_Current_Subset1_2,43815.6232,Item_92,3,76,21209.2447,Item_03,4,63,88511.3209,Visual_07,3,192,114878.7972,Item_60 dwelled on; Item_61,4,252,11386.8065,Item_10,4,24,20198.3546,Item_30,3,39,147968.1143,Item_16,4,329,,,,,,,,,,,,,,,,
74,012_Resp_039.csv,39,Nandos_Menu_NewFunctional_Subset2_2,,,,,46615.9442,Item_65,3,130,39214.8979,Item_69,4,116,20445.8101,Heading_21,4,60,4274.9225,Item_10,4,8,41698.316,Item_46,3,109,,,,,18331.6336,Item_10,3,37,56360.7311,Heading_08,4,162,,,,,,,,
75,012_Resp_060.csv,60,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,4671.3624,Item_65,3,15,43150.9045,Item_15,3,102,7910.5097,Item_61,3,16,4494.2422,Item_47,3,14,6915.5217,Item_30,4,21,,,,,36201.445,Item_13,4,82,95908.7164,Item_06,4,257,,,,,,,,
76,012_Resp_071.csv,71,Nandos_Menu_NewUnique_Subset3_2,,,,,3184.8416,Item_09,4,9,17100.115,Item_17,4,44,8180.8885,Item_61,4,20,2830.6854,Item_47,3,5,1332.498,Item_30,4,4,,,,,,,,,,,,,32242.5204,Item_46,3,74,97029.5916,Item_41,4,261
77,012_Resp_086.csv,86,Nandos_Menu_NewUnique_Subset3_2 (1),,,,,11122.7346,Item_09,4,30,12387.9773,Item_15,3,42,11873.4397,Heading_33,4,38,10646.7551,Item_70,4,38,3332.4586,Item_46,4,12,,,,,,,,,,,,,31919.3646,Item_13,4,75,49548.6573,Item_83,4,137
78,013_Resp_008.csv,8,Nandos_Menu_Current_Subset1_2,92199.5613,Visual_14,3,178,25746.1085,Item_73,4,67,67967.8263,Item_17,3,84,37120.655,Item_03,3,42,9134.4821,Item_10,4,14,5571.0546,Item_30,3,11,177663.5814,Item_78,4,407,,,,,,,,,,,,,,,,
